9,1,23,6,4,3,3,1,1,1,1,1,3,6,1,1,1,1,,2,3,,,,,,,,4,6,,,,,,,,,,-998,2,,,,,,,,,-999,,1,2,,,,,,3,4,4,1,1,1,3,,,,,,,,-998,4,,,,,5,,,,,,,,3,3,3,3,3,3,,,,,,,7,,,-999,,2,2,4,2,4,2,4,2,6,3,3,2,2,4,4,4,4,4,4,2,2,2,3,1,2,2,1,4,3,1,4,4,4,4,4,2
9,1,13,6,2,2,7,1,1,3,2,3,4,6,4,4,4,4,,,,,,,,,,-998,3,3,,,3,,,,7,,,,2,,2,,,,,,,,,,,,,5,,,3,2,4,1,1,4,4,,,,,,,,-998,4,,,,,,,,,,,,-998,3,5,5,5,5,5,,,,,,,,,,,-998,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
8,1,13,3,2,2,7,2,2,2,6,3,4,2,2,2,2,2,1,2,,,,,,,,,2,2,,,,4,,,7,,,,2,,,3,,,,,,,,,,,,5,,,3,3,3,1,1,2,3,,,3,,,,,,3,1,2,3,,5,6,,,,,,,1,3,3,3,3,3,,,,,,,,,9,,,1,5,5,5,5,5,5,1,1,4,4,4,4,4,4,2,2,2,2,5,5,5,5,5,5,5,5,5,4,1,4,4,4,4,4,4
4,1,13,6,6,4,4,1,1,1,2,3,3,2,1,2,2,2,,2,3,,,,7,,,,4,6,1,2,3,,,,7,,,,1,,,,,,,7,,,,1,,3,4,,,,1,1,4,4,1,2,3,,,,,,,,-998,3,,,3,,,,,,,,,,1,3,3,3,3,1,,,,,5,,,8,,,,2,2,2,2,2,2,4,4,4,3,3,4,4,3,4,4,4,3,4,3,3,3,3,3,4,4,1,3,1,1,4,4,3,4,4,3
9,1,25,6,4,3,3,1,1,1,1,3,4,6,3,3,3,3,1,2,,,,,,,,,2,1,,,,,5,,,,,,1,1,,,,,,,,,,,,,,5,,,1,1,3,3,1,4,3,,,,,,6,,,3,,,,,,,,,,10,,,1,4,4,4,4,4,,,,,,,,,9,,,5,4,4,4,4,3,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
7,1,14,1,1,1,1,1,1,1,1,4,2,6,4,4,4,4,1,2,,,,,,,,,4,6,,,,,,,,,,-998,1,1,2,,,,,,,,,,2,,,,-999,,1,1,3,1,1,2,4,,,,,,,,-998,4,,,3,4,,,,,,,,,3,5,5,5,5,5,,,,,,,,,,,-998,5,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
10,1,13,3,4,7,5,1,1,3,2,2,3,6,2,2,3,3,,,,,,,,,-999,,4,6,,,,,,,,,,-998,2,,,3,4,,,,,,,,,,,,,-998,1,5,4,1,1,4,2,,,,,,,,-998,3,1,2,3,4,5,6,,,,,,,3,3,3,2,3,3,,2,3,,,6,,,,,,2,1,2,2,2,2,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,5,1,1,4,4,3,4,3,3
16,3,13,6,4,3,5,3,1,1,1,1,4,3,,,,,,,,,,,,,,,2,3,,,,4,5,6,7,,,,2,1,2,3,,5,,7,,,,,2,,4,,,,1,1,1,1,1,2,3,,,,,,,,-998,4,1,2,3,4,5,,,,,,,,1,3,3,3,3,2,1,,,,5,,7,8,,,,3,1,2,2,5,2,5,2,2,5,5,5,5,5,5,2,2,2,2,3,3,3,3,3,3,3,4,4,3,3,5,5,5,5,5,2
5,1,13,6,3,2,7,4,4,6,1,1,4,2,5,5,5,5,,2,3,,5,,7,,-999,,3,5,1,2,3,,,6,,,,,1,,,,4,,,,,-999,,,,,,,-999,,3,3,3,3,2,4,4,,,,,,,,-998,4,,,,,,,,,,10,,,2,7,7,7,7,7,,,,,,,,,9,,,5,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3
4,1,13,6,3,3,7,1,4,3,2,5,3,6,5,5,5,5,1,2,,,,,,,,,3,3,,,,,5,,,,,,2,,2,,,,,,,,,,,3,,,,,1,2,5,2,1,5,5,,,,,,6,,,5,,,,,,,,,,10,,,1,6,6,6,6,6,,,,,,,,,9,,,6,5,5,5,5,5,5,6,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,2
4,1,43,6,1,1,1,2,1,3,3,2,3,4,2,2,2,2,,2,,,5,,,,,,2,1,,,,,,,7,,,,3,,,,,,,,,,-998,,,,,,,-998,3,2,3,2,1,3,4,,,,,,,,-998,4,,,,,,,,,,,,-998,3,3,3,3,3,3,,2,,,,,,,,,,4,5,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2
5,1,27,6,3,2,2,3,1,6,1,1,2,1,1,1,1,1,,2,3,,,,,,,,3,4,,,,,,,7,,,,2,,,,,,,,,-999,,,,,,5,,,4,1,1,5,1,4,3,,,,,,,,-998,3,,,,,,,,,,,,-998,3,3,3,3,3,3,,,,,,,7,8,,-999,,5,4,4,1,4,4,4,4,4,4,4,4,4,4,4,1,4,1,4,4,4,4,1,1,1,4,4,4,4,4,4,4,4,4,4,3
4,1,15,6,2,2,7,2,1,2,2,2,3,5,2,2,2,2,,,,,,6,,,,,3,4,,,3,,5,,,,,,2,,2,,4,,,,,,,1,2,3,,,,,3,3,3,2,1,2,3,,,,,,,,-998,3,,,,,,,,,,,,-998,3,3,3,3,3,3,,,,,5,,,,,,,2,4,4,2,4,2,4,4,4,2,2,2,4,4,2,2,2,2,2,2,2,4,2,2,4,4,2,4,4,4,4,4,4,4,4,2
7,3,1,5,2,2,2,1,1,1,2,1,3,6,,,,,,,,,,,,,,,4,6,,,,,,,,,,-998,2,,2,,,,,,,,,,2,,,,,,1,4,4,1,1,2,4,,,,,,,,-998,4,,,,,,,,,,,,-998,1,5,5,5,5,5,,,,,,,,,,,-998,5,1,2,2,4,1,4,2,2,3,3,2,2,2,3,1,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
5,1,23,6,2,2,7,1,2,1,2,3,4,5,3,3,3,3,1,2,3,,,,,,,,1,3,,,,,5,,,,,,1,,2,,,,,,,,,,,,,5,,,1,1,4,3,1,4,3,,,,,,,,-998,4,,,,,,,,,,,,-998,5,5,5,5,5,5,,,,,,,,,,,-998,5,4,4,4,4,2,4,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,2,3,4,4,4,4,4,4,4,2
5,1,11,6,2,2,2,2,1,2,7,3,4,6,2,2,3,2,,2,3,,,,,,,,1,1,,,3,4,5,6,7,8,,,2,1,2,3,4,5,,,,,,,,,,,-999,,1,1,3,1,1,4,4,,,,,,,,-998,4,1,2,,4,5,6,,,,,,,3,3,3,3,3,3,1,2,3,4,5,,7,,,,,4,1,4,4,4,3,4,4,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,4,4,4,4,4,3
7,3,17,5,2,1,1,1,2,3,2,3,2,2,,,,,,,,,,,,,,,4,6,,,,,,,,,,-998,3,,,,,,,,,,-998,,,,,,,-998,1,4,4,1,1,2,2,,,,,,,,-998,3,1,2,,,,,,,,,,,3,3,3,3,3,3,1,,,,,,,,,,,4,1,2,2,5,3,4,4,1,4,4,4,4,4,4,4,4,4,2,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,2
9,1,15,5,3,2,2,1,1,6,1,1,3,6,2,2,4,3,1,2,,,,,,,,,3,2,1,2,3,,,,,,,,4,,,,,,,,8,,,,,,,5,,,4,4,4,1,3,4,4,,,,,,,,-998,4,,,,,,,,,,,,-998,1,5,5,5,5,5,,,,,,,,8,,,,5,4,4,4,4,3,4,5,5,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3
17,3,27,6,3,2,2,2,1,1,1,1,4,1,,,,,,,,,,,,,,,3,4,,,,,,,7,,,,3,,,,,,,,,,-998,,,,,,,-998,1,1,3,2,1,3,3,,,,,,,,-998,4,,,3,,,6,,,,,,,1,3,3,3,3,3,,2,,,,,7,,,,,2,1,2,2,2,2,5,2,1,2,2,2,2,2,2,2,2,2,2,5,5,5,5,3,5,5,4,5,4,4,4,5,5,5,5,3
5,1,17,6,3,2,2,1,1,2,2,2,3,6,1,1,1,1,,,,,,,,,-999,,3,4,,,,,,,,,,-998,3,,,,,,,,,,-998,,,,,,,-998,1,2,2,2,1,1,3,,,,,,,,-998,5,,,,,,,,,,,,-998,3,3,3,3,3,3,,,,,,,,,,,-998,2,2,4,2,4,2,2,4,4,3,3,2,2,3,3,4,4,4,4,2,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,3
10,1,1,4,3,2,2,2,1,1,1,2,2,1,2,3,3,3,1,,,,,,,,,,3,4,,,,,,,7,,,,2,,2,,,,,,,,,,,,,5,,,1,1,4,1,1,4,4,,,,,,,,-998,4,,,,,,,,,,10,,,1,5,5,5,5,5,,,,,,,,,,,-998,5,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,2
5,1,21,6,1,1,1,1,1,2,1,1,3,2,1,1,3,3,1,,,,,,,,,,3,3,,,3,4,,,,,,,1,1,,,,,,,,,,,,,,5,,,1,3,4,4,1,2,3,,2,,,,,,,3,1,,,,,,,,,,,,1,4,4,4,4,4,,,3,,,,,,,,,4,5,5,5,5,3,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
5,1,27,6,1,1,1,2,2,3,5,3,3,6,2,2,2,2,,2,3,4,,6,,,,,4,6,,,,,,,,,-999,,3,,,,,,,,,,-998,,,,,,,-998,3,3,3,3,3,4,3,,,,,,,,-998,5,,,,,,,,,,,,-998,3,5,5,5,5,5,,,,,,,,,9,,,2,5,5,2,5,5,5,4,4,4,4,4,3,4,4,5,5,5,5,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4
8,1,33,5,1,1,1,2,2,6,1,1,3,5,1,1,3,3,,,3,,5,,7,,,,4,4,,,,,,,,,,-998,1,,,,,5,,,,,,,,,,5,,,4,2,4,2,2,4,3,,,,,,,,-998,4,,,,,,,,,,,,-998,2,6,6,6,6,6,,,,,,,,,9,,,4,5,5,5,5,5,5,5,2,4,4,4,4,4,4,4,4,4,4,2,5,5,2,2,2,5,5,5,5,5,5,5,5,5,5,4
7,5,3,4,1,1,1,1,1,2,1,1,4,2,,,,,,,,,,,,,,,3,3,1,,,4,5,,,8,,,2,1,2,3,4,5,6,,,,,1,,,,,,,1,1,1,1,1,3,3,,,3,,,,,,4,,2,3,4,,,,,,,,,1,3,2,2,2,2,,,,,,,7,,,,,1,1,2,2,3,4,2,2,2,2,2,1,2,3,2,1,2,1,1,2,2,2,1,1,1,1,1,3,2,2,2,2,2,1,2,3
7,3,6,6,3,2,2,1,2,2,2,2,3,2,,,,,,,,,,,,,,,3,2,,,,4,5,,7,,,,2,,2,,4,,,,,,,,2,,,,,,3,3,2,2,1,4,2,,,3,,,,,,3,1,,,,5,6,,,,,,,1,6,6,6,6,6,,,,,,,,,9,,,1,1,2,2,5,2,2,2,2,2,3,3,2,3,2,2,3,2,2,5,5,5,5,5,5,5,2,5,5,3,5,5,5,5,5,3
10,1,23,6,4,2,2,1,1,4,5,4,4,3,2,2,2,2,1,2,3,,5,,,,,,1,3,,,,,5,6,7,,,,2,,2,,,,,,,-999,,,2,,,,,,3,4,4,1,1,5,5,,,,,,,,-998,5,,,,,,,,,,10,,,1,7,7,7,7,7,,,,,,,,,,,-998,6,1,4,4,5,4,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
13,1,13,4,6,3,3,1,1,1,2,2,3,6,1,1,3,3,1,2,3,,,,,,,,3,3,,,,4,,,,,,,3,,,,,,,,,,-998,,,,,,,-998,1,4,1,1,1,1,2,,,,,,,,-998,3,,,,,,,,,,10,,,1,3,3,3,3,3,,,3,,,,,,,,,2,1,4,4,4,1,4,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,2,4,5,1,5,5,5,4,5,3
7,3,40,6,2,1,1,1,1,4,1,1,4,2,,,,,,,,,,,,,,,3,2,,,3,,,,,,,,2,1,,,,,,,,,,,,3,,,,,2,1,2,1,1,2,2,,2,,,,,,,3,,2,,,,,,,,,,,2,3,3,3,3,3,,2,,,,,,,,,,4,1,4,4,4,2,4,2,1,4,4,4,3,3,4,2,2,2,2,2,2,5,1,1,1,2,2,5,5,1,1,5,5,5,5,2
5,1,23,6,3,2,2,3,2,5,2,2,4,6,2,2,2,2,,2,3,,,6,,,,,3,4,,,3,,5,,,,,,2,,,3,,5,,,,,,,,3,,,,,3,4,4,1,1,4,3,,,,,,6,,,4,,,,,,,,,,,,-998,1,3,3,3,3,1,,2,,,,,,,,,,1,1,3,3,3,3,3,4,4,4,4,4,4,4,4,4,2,2,3,3,3,3,3,2,3,3,4,3,4,4,4,4,4,4,4,2
4,1,15,6,3,3,7,3,1,3,6,4,2,6,2,2,2,2,,,,,,6,,,,,4,6,,,,,,,,,,-998,3,,,,,,,,,,-998,,,,,,,-998,2,2,2,2,2,1,3,,,,,,,,-998,4,,,,,,,,,,,,-998,1,3,3,3,3,3,,,,,,,,,,-999,,5,4,4,4,4,2,4,4,4,1,1,1,1,1,1,4,4,2,4,3,4,4,4,4,4,4,4,4,1,1,4,4,4,4,4,3
5,1,6,6,3,6,6,1,2,3,3,3,2,8,2,2,2,1,,2,3,4,5,6,7,,,,2,2,,,3,4,,6,,,,,2,1,2,3,,5,,,,,,,,,,,-999,,3,3,3,3,2,3,3,1,2,,,5,,,,3,,2,3,4,,6,7,8,9,,,,1,3,3,3,3,3,,2,,,5,6,7,,,,,2,3,4,4,4,4,4,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,3,3,4,3,3,4,4,4,3,4,3
6,1,40,3,4,3,5,1,1,1,2,2,3,6,2,2,3,3,,2,3,4,,,,,,,3,1,,,,4,5,,,8,,,2,1,,,4,,,,,,,,,3,,,,,1,3,3,3,1,2,3,,,,,,6,,,4,,,,,,,,,,10,,,1,3,2,3,2,4,,2,,4,,,,,,,,6,5,5,5,5,5,5,4,2,2,3,3,2,2,3,2,3,3,2,3,3,3,3,2,1,2,3,3,5,3,5,5,5,3,5,2
9,1,13,5,2,3,7,1,1,3,2,2,3,2,1,1,2,2,,2,3,,,,,,,,4,6,,,,,,,,,,-998,1,,,3,,,6,,,,,1,,3,,,-999,,1,2,3,3,1,2,3,,,,,,,,-998,4,,,,4,,,,,,,,,3,3,3,3,3,3,,,,,5,,,,,,,2,1,4,2,4,1,4,4,1,2,3,4,4,3,3,2,4,2,4,1,2,4,2,1,2,4,3,5,1,3,4,4,4,4,4,2
15,1,11,6,1,1,1,1,1,2,2,2,3,5,2,2,2,2,,2,,,,,,,,,3,2,,,,,,,,,-999,,1,,,3,,,,,,,,1,,,,,,,2,2,3,1,2,5,5,,,,,,,,-998,5,,,,,,,,,,,,-998,3,2,2,2,2,2,,2,,,,,,,,,,3,4,4,4,4,2,4,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,3
9,1,41,3,1,2,7,1,1,1,1,1,3,1,2,2,2,2,1,2,3,,,,,,,,3,2,,,,,,6,,,,,2,,,3,,,,,,,,,2,,,,,,3,3,3,3,3,5,4,,,,,,6,,,3,,,,,,,,,,10,,,3,3,3,6,6,6,,,,,,,,,9,,,3,5,5,5,5,1,5,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,3,5,5,3,2,4,4,4,4,4,4,4,2
7,3,16,6,2,2,2,2,1,4,2,3,4,6,,,,,,,,,,,,,,,1,1,,,,4,5,6,7,,,,1,,,3,4,,,,,,,,2,,,,,,3,3,3,3,3,4,3,1,,,,,,,,4,1,2,,,5,6,,,,,,,1,4,4,4,4,4,,2,,,,6,7,,,,,3,1,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,4,3,4,3,4,4,2,3,3,4,3
5,1,18,4,2,2,2,1,1,2,1,1,2,6,2,2,2,2,,2,3,,,,,,,,3,3,,,3,4,,,,8,,,3,,,,,,,,,,-998,,,,,,,-998,4,1,1,1,3,4,1,1,,,,,,,,5,,,,,,,,,,10,,,3,3,3,3,3,3,,,,,,,,8,,,,-999,1,2,2,5,4,4,1,1,3,3,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1,5,5,3,3,5,5,5,5,5,3
7,3,32,6,3,2,2,1,1,3,2,3,4,1,,,,,,,,,,,,,,,3,4,,,,4,,,,,,,3,,,,,,,,,,-998,,,,,,,-998,3,3,1,1,1,4,1,,2,,,,,,,3,,,3,4,5,6,,,,,,,3,3,3,3,3,3,,2,,,,,,,,,,1,1,3,3,3,3,3,2,2,4,4,4,4,4,4,2,2,2,2,3,3,3,3,3,4,4,3,4,5,3,5,5,5,5,5,3
4,1,3,6,2,1,1,1,1,5,5,2,3,6,4,4,2,2,,2,3,,,,,,,,4,6,,,,,,,,,,-998,3,,,,,,,,,,-998,,,,,,,-998,4,2,4,2,1,4,3,,,,,,,,-998,3,,,,,,,,,,,,-998,3,5,5,5,5,5,,,,,,,,,,,-998,5,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4
4,1,37,6,1,1,1,1,1,3,5,3,4,1,3,3,3,3,,2,,,5,,,,,,2,1,1,,,4,,6,,,,,1,1,,,4,,,,,,,,,,,5,,,3,3,4,4,2,4,3,,,,,,,,-998,4,,,,,,,,,,,,-998,5,4,4,4,4,4,,,,,,,,,,,-998,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
4,1,47,7,2,1,1,1,1,4,1,2,3,6,1,1,1,1,,,,,,,,8,,,4,4,,,3,,,,,,,,2,1,2,,,,,,,,,,,3,4,,,,4,1,4,1,1,4,3,,,,,,,,-998,4,1,,,4,,,,,9,,,,2,2,2,2,2,2,,,,,5,,,,,,,2,4,4,4,4,3,3,1,1,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,2,4,1,4,4,4,4,4,4,2
5,1,37,6,2,6,6,1,1,6,1,1,3,6,1,1,2,2,1,2,,,5,,,,,,3,3,,,,4,5,,,,,,2,1,,,,,,,,,,,,,,5,,,4,3,4,4,1,4,4,,,,,,,,-998,4,,,,,,,,,,,,-998,3,3,3,3,3,3,,,,,,,,,,,-998,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,1,1,4,4,4,4,4,4,4,4,4,4,3
7,3,7,5,4,2,7,1,1,1,1,1,4,2,,,,,,,,,,,,,,,3,4,,,,,,,7,8,,,1,1,,,,,,,,-999,,,2,,,,-999,,1,1,2,1,1,1,2,,,,,5,,,,1,,,3,,,,,,,,,,1,3,3,2,2,2,,,3,,5,,,,,-999,,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,1,5,5,5,2,2,2,1
4,1,34,5,2,6,6,2,1,2,2,4,3,7,4,3,4,2,1,2,3,,5,,7,,,,3,3,,,,,,,,,,-998,2,,,,4,,,,,,,,,,,5,,,2,2,2,2,1,4,4,,,,,,,,-998,4,,,,,,,,,,,,-998,6,6,6,6,6,6,,2,,,,6,,,,,,3,4,4,4,4,4,4,5,5,4,4,4,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
5,1,9,3,5,3,4,1,1,1,2,2,3,2,2,2,2,3,,2,,,,,,,,,4,6,,,,,,,,,,-998,2,,,3,,,,,,,,1,,3,,,,,1,1,3,1,1,2,3,,,,,,6,,,3,1,,3,4,,,,,,,,,2,3,3,3,3,3,,2,,,,,,,,,,1,2,3,2,3,1,3,2,2,3,3,3,2,2,3,3,3,3,3,2,3,3,3,3,3,3,2,3,2,2,2,3,3,4,3,2
17,1,27,5,1,2,2,1,1,1,1,1,3,1,2,2,2,2,,2,,,,,,,,,3,3,,,,4,,,,,,,3,,,3,,,,,,,,,2,,,,,,3,3,3,3,3,5,5,,,,,,6,,,5,,,,,,,,,,10,,,6,4,4,4,4,4,,,,,,,,,9,,,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,1,13,6,6,4,4,1,1,1,2,1,4,2,1,1,3,3,1,2,3,,,6,7,,,,4,4,,,,,,,,,,-998,2,,,,4,5,6,,,,,,,,,5,,,1,3,4,1,1,5,3,,,,,,,,-998,5,,,,,,,,,,,,-998,1,6,6,6,6,6,,,,,,,,,,,-998,6,2,2,2,4,2,4,1,1,2,2,2,2,2,2,5,5,3,5,1,1,3,3,3,1,3,2,5,1,1,5,5,5,5,5,5
4,1,27,6,5,4,4,1,1,1,3,2,4,6,2,2,2,2,,2,3,,,,,,,,3,3,,,3,4,,,,,,,2,1,2,,,,,,,,,1,,,,,,,1,3,3,1,1,2,3,,,,,,6,,,4,,,3,,,,,,,,,,1,2,2,3,2,2,,2,,,,,,,,,,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,2
4,1,40,6,4,3,3,2,2,4,7,2,4,8,2,3,4,2,,2,,4,,,7,,,,3,3,1,2,3,,5,,,8,,,2,,,,4,,,7,,,,1,,,,,,,3,4,4,1,1,4,4,,,,,,,,-998,4,,,,,,,,,,,,-998,1,5,5,5,5,5,,,,,,,,,,,-998,5,4,4,4,4,3,4,5,5,2,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
5,1,35,6,2,1,1,1,1,3,1,1,3,5,1,1,3,2,1,2,,,,,,,,,4,4,,,,,,,,,,-998,3,,,,,,,,,,-998,,,,,,,-998,3,1,3,3,1,4,4,,,,,,,,-998,4,,,,,,,,,,,,-998,3,3,3,6,6,6,,,,,,,,8,9,,,6,1,5,5,5,5,5,4,4,3,3,5,5,5,5,5,2,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,2
5,1,13,6,4,3,4,2,1,1,3,1,4,2,1,2,3,3,1,2,,4,,6,,,,,3,1,,,3,,,,,,,,3,,,,4,,,,,,,,2,,,,,,1,3,1,1,1,4,4,,,,,,,,-998,4,,,,4,5,6,,,9,,,,1,3,3,3,3,3,,,,,5,,,,,,,1,1,3,4,4,2,4,3,3,4,4,4,4,4,4,2,4,2,4,3,3,3,4,4,4,4,1,4,3,1,4,4,4,4,4,3
9,3,20,5,2,1,1,1,1,1,1,1,3,2,,,,,,,,,,,,,,,3,3,,2,,,,,,,,,3,,,,,,,,8,,,,,,,5,,,2,2,3,3,1,1,3,1,,,,,,,,4,1,2,3,,,,,,,,,,3,3,3,3,3,3,,2,,,,,,,,,,2,5,3,2,5,1,5,2,2,2,2,1,1,1,1,3,3,3,3,5,5,5,5,5,5,5,5,5,3,5,5,3,3,5,5,3
7,3,11,2,1,1,1,1,1,1,7,4,3,3,,,,,,,,,,,,,,,3,2,,,3,,,,,,,,2,,2,,,,,,,,,,,,,5,,,1,2,2,3,1,2,2,1,,3,,,,,,3,,,,,5,,,,,,,,5,2,2,2,3,3,,2,,,,,,,,,,1,3,2,2,3,1,3,2,2,1,1,1,1,2,1,2,1,2,2,3,3,3,3,3,3,3,3,3,2,2,3,3,2,3,3,3
